Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
2016,Work Experience by Race,Not Working,Black,"Baltimore City, Maryland","426,432",,"426,432",,
2016,Work Experience by Race,Not Working,American,"Baltimore City, Maryland","1,257",,"1,257",,
2016,Work Experience by Race,Not Working,Chinese,"Baltimore City, Maryland","3,301",,"3,301",,
2016,Work Experience by Race,Not Working,Japanese,"Baltimore City, Maryland",36,,36,,
2016,Work Experience by Race,Not Working,Other Asian,"Baltimore City, Maryland","9,755",,"9,755",,
2016,Work Experience by Race,Not Working,Other Race,"Baltimore City, Maryland","7,601",,"7,601",,
2016,Work Experience by Race,Not Working,Two Major Races,"Baltimore City, Maryland","13,255",,"13,255",,
2016,Work Experience by Race,Not Working,Three or More,"Baltimore City, Maryland","2,858",,"2,858",,
2016,Work Experience by Race,Part Time,White,"Baltimore City, Maryland","31,989",,"31,989",,
2016,Work Experience by Race,Part Time,Black,"Baltimore City, Maryland","56,643",,"56,643",,
2016,Work Experience by Race,Part Time,American,"Baltimore City, Maryland",226,,226,,
2016,Work Experience by Race,Part Time,Chinese,"Baltimore City, Maryland",461,,461,,
2016,Work Experience by Race,Part Time,Japanese,"Baltimore City, Maryland",134,,134,,
2016,Work Experience by Race,Part Time,Other Asian,"Baltimore City, Maryland","1,935",,"1,935",,
2016,Work Experience by Race,Part Time,Other Race,"Baltimore City, Maryland","1,164",,"1,164",,
2016,Work Experience by Race,Part Time,Two Major Races,"Baltimore City, Maryland","1,581",,"1,581",,
2016,Work Experience by Race,Part Time,Three or More,"Baltimore City, Maryland",201,,201,,
2016,Work Experience by Race,Full Time,White,"Baltimore City, Maryland","200,023",,"200,023",,
2016,Work Experience by Race,Full Time,Black,"Baltimore City, Maryland","294,200",,"294,200",,
